# Elements 1e+06
[00001.992 ms] [14.392727] sumSeq
[00000.036 ms] [14.392727] sumCuda<<<1024, 32>>>
[00000.035 ms] [14.392727] sumCuda<<<1024, 64>>>
[00000.035 ms] [14.392727] sumCuda<<<1024, 128>>>
[00000.034 ms] [14.392727] sumCuda<<<1024, 256>>>
[00000.035 ms] [14.392727] sumCuda<<<1024, 512>>>
[00000.040 ms] [14.392727] sumCuda<<<1024, 1024>>>
[00000.038 ms] [14.392727] sumCuda<<<2048, 32>>>
[00000.036 ms] [14.392727] sumCuda<<<2048, 64>>>
[00000.034 ms] [14.392727] sumCuda<<<2048, 128>>>
[00000.036 ms] [14.392727] sumCuda<<<2048, 256>>>
[00000.038 ms] [14.392727] sumCuda<<<2048, 512>>>
[00000.038 ms] [14.392727] sumCuda<<<2048, 1024>>>
[00000.037 ms] [14.392727] sumCuda<<<4096, 32>>>
[00000.036 ms] [14.392727] sumCuda<<<4096, 64>>>
[00000.035 ms] [14.392727] sumCuda<<<4096, 128>>>
[00000.037 ms] [14.392727] sumCuda<<<4096, 256>>>
[00000.038 ms] [14.392727] sumCuda<<<4096, 512>>>
[00000.041 ms] [14.392727] sumCuda<<<4096, 1024>>>
[00000.040 ms] [14.392727] sumCuda<<<8192, 32>>>
[00000.041 ms] [14.392727] sumCuda<<<8192, 64>>>
[00000.040 ms] [14.392727] sumCuda<<<8192, 128>>>
[00000.037 ms] [14.392727] sumCuda<<<8192, 256>>>
[00000.037 ms] [14.392727] sumCuda<<<8192, 512>>>
[00000.040 ms] [14.392727] sumCuda<<<8192, 1024>>>
[00000.054 ms] [14.392727] sumCuda<<<16384, 32>>>
[00000.053 ms] [14.392727] sumCuda<<<16384, 64>>>
[00000.040 ms] [14.392727] sumCuda<<<16384, 128>>>
[00000.037 ms] [14.392727] sumCuda<<<16384, 256>>>
[00000.038 ms] [14.392727] sumCuda<<<16384, 512>>>
[00000.040 ms] [14.392727] sumCuda<<<16384, 1024>>>
[00000.082 ms] [14.392727] sumCuda<<<32768, 32>>>
[00000.055 ms] [14.392727] sumCuda<<<32768, 64>>>
[00000.039 ms] [14.392727] sumCuda<<<32768, 128>>>
[00000.038 ms] [14.392727] sumCuda<<<32768, 256>>>
[00000.038 ms] [14.392727] sumCuda<<<32768, 512>>>
[00000.039 ms] [14.392727] sumCuda<<<32768, 1024>>>

# Elements 1e+07
[00014.981 ms] [16.695311] sumSeq
[00000.143 ms] [16.695311] sumCuda<<<1024, 32>>>
[00000.131 ms] [16.695311] sumCuda<<<1024, 64>>>
[00000.117 ms] [16.695311] sumCuda<<<1024, 128>>>
[00000.114 ms] [16.695311] sumCuda<<<1024, 256>>>
[00000.114 ms] [16.695311] sumCuda<<<1024, 512>>>
[00000.114 ms] [16.695311] sumCuda<<<1024, 1024>>>
[00000.129 ms] [16.695311] sumCuda<<<2048, 32>>>
[00000.122 ms] [16.695311] sumCuda<<<2048, 64>>>
[00000.121 ms] [16.695311] sumCuda<<<2048, 128>>>
[00000.119 ms] [16.695311] sumCuda<<<2048, 256>>>
[00000.121 ms] [16.695311] sumCuda<<<2048, 512>>>
[00000.120 ms] [16.695311] sumCuda<<<2048, 1024>>>
[00000.124 ms] [16.695311] sumCuda<<<4096, 32>>>
[00000.120 ms] [16.695311] sumCuda<<<4096, 64>>>
[00000.121 ms] [16.695311] sumCuda<<<4096, 128>>>
[00000.120 ms] [16.695311] sumCuda<<<4096, 256>>>
[00000.120 ms] [16.695311] sumCuda<<<4096, 512>>>
[00000.124 ms] [16.695311] sumCuda<<<4096, 1024>>>
